group_id,dataset,orig_id,caption_id,caption_text,real_image_path
61,COCO,000000466787,coco-000000466787,A stack of banana's sitting next to a pear and a pile of apples.,data/covers/real/g0061__src-real.png
62,Flickr30k,1151321278,flickr-464,A little boy is standing on the beach with a blue bucket and a green shovel while looking at the water.,data/covers/real/g0062__src-real.png
63,COCO,000000300814,coco-000000300814,Two adults playing a game in a arena.,data/covers/real/g0063__src-real.png
64,COCO,000000398076,coco-000000398076,Here is a woman lying on a bed pointing her finger.,data/covers/real/g0064__src-real.png
65,COCO,000000280607,coco-000000280607,A pizza that is sitting on a table.,data/covers/real/g0065__src-real.png
66,COCO,000000557780,coco-000000557780,A small dog chewing on hot dog like dog toy.,data/covers/real/g0066__src-real.png
67,Flickr30k,1223671563,flickr-648,Construction workers working on a highway at night as people look to see what they are doing.,data/covers/real/g0067__src-real.png
68,COCO,000000476005,coco-000000476005,A line of multiple buses parked along a wall.,data/covers/real/g0068__src-real.png
69,Flickr30k,1251558317,flickr-739,A woman and a young boy sit on a police motorcycle and smile for the camera.,data/covers/real/g0069__src-real.png
70,Flickr30k,1167144956,flickr-515,A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area.,data/covers/real/g0070__src-real.png
71,COCO,000000480076,coco-000000480076,A gray chair and a black chair sit in a room near a lamp.,data/covers/real/g0071__src-real.png
72,Flickr30k,116382784,flickr-503,Two Asian women and an Asian girl are sitting at a farmers market and are selling produce including yams.,data/covers/real/g0072__src-real.png
73,COCO,000000199951,coco-000000199951,a person riding a motorcycle on an enclosed road,data/covers/real/g0073__src-real.png
74,Flickr30k,107985741,flickr-221,A group of people on a riverbank some sitting on the grass some standing.,data/covers/real/g0074__src-real.png
75,Flickr30k,112719695,flickr-385,A woman in a pink shit and blue jeans is walking down a somewhat busy street while holding a cup of coffee.,data/covers/real/g0075__src-real.png
76,Flickr30k,1141718391,flickr-422,A man and a woman are crossing over a rope bridge with greenery all over them.,data/covers/real/g0076__src-real.png
77,COCO,000000538589,coco-000000538589,a modern bathroom with blue walls and a clear shower,data/covers/real/g0077__src-real.png
78,Flickr30k,1184910489,flickr-545,A woman with a red sleeveless top and a long black skirt holding one young child in her arm and holding another young child by the hand as she walks along.,data/covers/real/g0078__src-real.png
79,COCO,000000231408,coco-000000231408,there is a cat that is standing near the water,data/covers/real/g0079__src-real.png
80,COCO,000000055375,coco-000000055375,A woman bathing a baby near a kitchen sink.,data/covers/real/g0080__src-real.png
81,COCO,000000064710,coco-000000064710,a person and a dog are standing near some cliffs,data/covers/real/g0081__src-real.png
82,COCO,000000393659,coco-000000393659,A bathroom with two sinks and two mirrors.,data/covers/real/g0082__src-real.png
83,Flickr30k,114410209,flickr-431,A person wearing a short-sleeved light blue shirt over a long-sleeved white shirt and blue jeans is holding a long-lensed camera to his face while standing next to a red colored railroad car.,data/covers/real/g0083__src-real.png
84,COCO,000000494731,coco-000000494731,Black birds on a wood fence near the ocean.,data/covers/real/g0084__src-real.png
85,Flickr30k,1001465944,flickr-8,An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman.,data/covers/real/g0085__src-real.png
86,Flickr30k,1032122270,flickr-110,Three dogs are standing in the grass and a person is sitting next to them,data/covers/real/g0086__src-real.png
87,Flickr30k,109671650,flickr-280,A boy in yellow shorts is standing on top of a cliff.,data/covers/real/g0087__src-real.png
88,COCO,000000153607,coco-000000153607,A wide blue vase is holding an orange daisy.,data/covers/real/g0088__src-real.png
89,Flickr30k,1003163366,flickr-17,A man sleeping on a bench outside with a white and black dog sitting next to him.,data/covers/real/g0089__src-real.png
90,COCO,000000476280,coco-000000476280,A man holds a surf board and walks with a woman.,data/covers/real/g0090__src-real.png
91,COCO,000000271795,coco-000000271795,A laptop computer sitting on top of a wooden desk.,data/covers/real/g0091__src-real.png
92,COCO,000000074369,coco-000000074369,A little boy in a baseball uniform holds the bat ready to swing.,data/covers/real/g0092__src-real.png
93,COCO,000000527040,coco-000000527040,A bunch of birds sitting in a bread basket.,data/covers/real/g0093__src-real.png
94,COCO,000000071281,coco-000000071281,some black and white sheep a fence dirt and grass,data/covers/real/g0094__src-real.png
95,COCO,000000155877,coco-000000155877,Several goats are resting at the base of a tree.,data/covers/real/g0095__src-real.png
96,COCO,000000150410,coco-000000150410,Man bending down to check out a model plain that is parked in the grass,data/covers/real/g0096__src-real.png
97,COCO,000000039743,coco-000000039743,Two children who are sitting next to each other naked.,data/covers/real/g0097__src-real.png
98,Flickr30k,1155138244,flickr-478,Woman dressed in a green hat and apron is holding a tray full of drink samples.,data/covers/real/g0098__src-real.png
99,Flickr30k,123728333,flickr-690,An older man finishes the last touch up on his sculpture.,data/covers/real/g0099__src-real.png
100,COCO,000000258516,coco-000000258516,A cricket inside of a small cage on a table..,data/covers/real/g0100__src-real.png
101,COCO,000000197461,coco-000000197461,a ram is looking at the camera and standing on some grass,data/covers/real/g0101__src-real.png
102,Flickr30k,120542286,flickr-603,Two men stand at a chalkboard that forms part of a stone wall in front of a number of tables and chairs of which only a few are occupied.,data/covers/real/g0102__src-real.png
103,COCO,000000133698,coco-000000133698,A pizza that is half pepperoni and half chicken.,data/covers/real/g0103__src-real.png
104,Flickr30k,1126403094,flickr-383,Two girls with purple hair and a short-haired woman are smiling.,data/covers/real/g0104__src-real.png
105,COCO,000000052644,coco-000000052644,Parking meters are lined up on an empty lot.,data/covers/real/g0105__src-real.png
106,Flickr30k,114164952,flickr-421,Family taking a winter walk in a park path while two of the children run ahead of the family.,data/covers/real/g0106__src-real.png
107,COCO,000000288002,coco-000000288002,Four jets fly overhead trailing smoke with a clear blue sky.,data/covers/real/g0107__src-real.png
108,Flickr30k,122188825,flickr-641,A construction worker in a yellow vest digs in the street while a second worker looks on.,data/covers/real/g0108__src-real.png
109,COCO,000000169802,coco-000000169802,A man in hat made of bananas standing in room by men.,data/covers/real/g0109__src-real.png
110,Flickr30k,111390902,flickr-337,Two Asian men are riding on a motorcycle in the midst of a crowd full of other motorcycle riders.,data/covers/real/g0110__src-real.png
111,COCO,000000015113,coco-000000015113,A bird that is on a tree limb.,data/covers/real/g0111__src-real.png
112,Flickr30k,1077546505,flickr-213,A boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water.,data/covers/real/g0112__src-real.png
113,COCO,000000232383,coco-000000232383,A cat laying on top of a flat screen TV.,data/covers/real/g0113__src-real.png
114,COCO,000000195829,coco-000000195829,A group of young men playing a game of soccer.,data/covers/real/g0114__src-real.png
115,Flickr30k,1131889107,flickr-401,Roller derby girls waiting for the next round of action!,data/covers/real/g0115__src-real.png
116,Flickr30k,122958692,flickr-662,A man in white playing tennis is still in midair after jumping to hit the ball.,data/covers/real/g0116__src-real.png
117,Flickr30k,1236964638,flickr-688,"Child flips off pool diving board, man and another tumbling child at poolside.",data/covers/real/g0117__src-real.png
118,COCO,000000261757,coco-000000261757,a pizza on a wooden table ready to be cooked,data/covers/real/g0118__src-real.png
119,COCO,000000542145,coco-000000542145,A toilet and a sink in small bathroom.,data/covers/real/g0119__src-real.png
120,COCO,000000172327,coco-000000172327,A person swimming in the waves of a body of water.,data/covers/real/g0120__src-real.png
121,COCO,000000262986,coco-000000262986,a bear sitting on a rock with a river running through it,data/covers/real/g0121__src-real.png
122,COCO,000000557981,coco-000000557981,A young man holding a stuffed teddy bear and a white umbrella.,data/covers/real/g0122__src-real.png
123,Flickr30k,1158505981,flickr-484,"An older bearded gentleman in glasses is reading a book in front of an open laptop, possibly in a classroom.",data/covers/real/g0123__src-real.png
124,COCO,000000014990,coco-000000014990,A man leading two elephants down a road.,data/covers/real/g0124__src-real.png
125,COCO,000000183757,coco-000000183757,A cat sitting on top of a red boat next to two dogs.,data/covers/real/g0125__src-real.png
126,Flickr30k,1131155939,flickr-397,"A black lav runs into the water on the beach, with swimmers in the distance and sea kelp in the foreground.",data/covers/real/g0126__src-real.png
127,COCO,000000292810,coco-000000292810,Restroom full of many urinals with smell eliminators.,data/covers/real/g0127__src-real.png
128,COCO,000000463633,coco-000000463633,A red stop sign sitting in the middle of a street.,data/covers/real/g0128__src-real.png
129,COCO,000000347453,coco-000000347453,all the vehicles in this town are red,data/covers/real/g0129__src-real.png
130,Flickr30k,1072439304,flickr-200,"A young helmeted man, in his team uniform, is swinging his bat at an incoming baseball.",data/covers/real/g0130__src-real.png
131,Flickr30k,12118309,flickr-616,Two men with dark hair wearing glasses and black shirts eat bread while holding their hands up to the camera.,data/covers/real/g0131__src-real.png
132,COCO,000000175417,coco-000000175417,Two men riding horses at a horse racing track.,data/covers/real/g0132__src-real.png
133,COCO,000000568101,coco-000000568101,kites being flown on the beach near the ocean,data/covers/real/g0133__src-real.png
134,Flickr30k,124106477,flickr-703,A woman in a brown shirt is about to release a blue bowling ball into the aisle.,data/covers/real/g0134__src-real.png
135,COCO,000000240727,coco-000000240727,Two children are sitting at a table eating food.,data/covers/real/g0135__src-real.png
136,COCO,000000554114,coco-000000554114,A woman kneeling down in front of a parking meter.,data/covers/real/g0136__src-real.png
137,COCO,000000336777,coco-000000336777,Many different signs cover a post next to a bus stop.,data/covers/real/g0137__src-real.png
138,Flickr30k,100652400,flickr-24,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag.,data/covers/real/g0138__src-real.png
139,Flickr30k,1076503761,flickr-212,A young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat.,data/covers/real/g0139__src-real.png
140,Flickr30k,1104881373,flickr-306,A woman is at an ice cream shop and she is waiting for the man to scoop her ice cream.,data/covers/real/g0140__src-real.png
141,COCO,000000335578,coco-000000335578,A tennis player hits a ball in an indoor area.,data/covers/real/g0141__src-real.png
142,Flickr30k,1248357227,flickr-726,Three children in jackets looking at water's edge looking at their reflections in a lake,data/covers/real/g0142__src-real.png
143,COCO,000000430867,coco-000000430867,A girl uses a phone next to a dog,data/covers/real/g0143__src-real.png
144,COCO,000000516602,coco-000000516602,A small calf is in a pen with bails of hay.,data/covers/real/g0144__src-real.png
145,COCO,000000129159,coco-000000129159,A large clock tower rises up above the surrounding buildings.,data/covers/real/g0145__src-real.png
146,COCO,000000040986,coco-000000040986,Raw cookies in a pan on the counter and baked cookies in a pan on the stove.,data/covers/real/g0146__src-real.png
147,Flickr30k,1196746186,flickr-588,A woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,data/covers/real/g0147__src-real.png
148,COCO,000000477949,coco-000000477949,An arrangement of brightly colored flowers and greenery awakens a brick wall.,data/covers/real/g0148__src-real.png
149,COCO,000000183181,coco-000000183181,A herd of buffalo grazing on grass next to the ocean.,data/covers/real/g0149__src-real.png
150,Flickr30k,1232148178,flickr-668,There is a little blond-hair girl with a green sweatshirt and a red shirt playing on a playground.,data/covers/real/g0150__src-real.png
151,COCO,000000425035,coco-000000425035,a toilet seat in a bathroom with the lid down.,data/covers/real/g0151__src-real.png
152,COCO,000000495734,coco-000000495734,The giraffes are standing together on the grass,data/covers/real/g0152__src-real.png
153,Flickr30k,1192725687,flickr-578,A homeless man holding up a sign with his request for money and his reasons for asking.,data/covers/real/g0153__src-real.png
154,COCO,000000298443,coco-000000298443,A group of people sitting at a long table having food and drinks.,data/covers/real/g0154__src-real.png
155,Flickr30k,1145781754,flickr-444,Four men with baseball caps and logo t-shirts laughing together at a table.,data/covers/real/g0155__src-real.png
156,Flickr30k,1202620814,flickr-597,People are boarding a train that's painted yellow on the front.,data/covers/real/g0156__src-real.png
157,Flickr30k,11245644,flickr-378,A newlywed couple is taking a picture outside on the steps of a building while other people are walking up and down the steps.,data/covers/real/g0157__src-real.png
158,COCO,000000091227,coco-000000091227,A giraffe standing in the grass near a tree.,data/covers/real/g0158__src-real.png
159,Flickr30k,1122357785,flickr-369,A young boy is falling into a pool of water with a man and a girl watching him.,data/covers/real/g0159__src-real.png
160,COCO,000000253262,coco-000000253262,A large jet sitting on top of an airport tarmac.,data/covers/real/g0160__src-real.png
161,COCO,000000434494,coco-000000434494,A bulldozer and fresh asphalt next to various people.,data/covers/real/g0161__src-real.png
162,COCO,000000529917,coco-000000529917,A bunch of people wearing the same things are standing in line.,data/covers/real/g0162__src-real.png
163,COCO,000000053990,coco-000000053990,A child eating a piece of cheese pizza.,data/covers/real/g0163__src-real.png
164,COCO,000000562261,coco-000000562261,A man stretching out yelling while catching a Frisbee.,data/covers/real/g0164__src-real.png
165,Flickr30k,116569042,flickr-511,A blurry picture of a man in a blue shirt and hard hat.,data/covers/real/g0165__src-real.png
166,Flickr30k,124972799,flickr-733,A snarling brown and black dog corners a brown long-haired cat under a wooden bench.,data/covers/real/g0166__src-real.png
167,COCO,000000043635,coco-000000043635,A bunch of people sit in an open court yard,data/covers/real/g0167__src-real.png
168,COCO,000000271712,coco-000000271712,A bathroom with a white bath tub under a window.,data/covers/real/g0168__src-real.png
169,Flickr30k,1266359954,flickr-783,A woman seated on the subway wearing blue jeans and a black shirt with small designs has her head bent down to her knees.,data/covers/real/g0169__src-real.png
170,Flickr30k,1007320043,flickr-28,A little girl in pink climbs a rope bridge at the park.,data/covers/real/g0170__src-real.png
171,COCO,000000493868,coco-000000493868,"A plate with broccoli down the sides and some white, rolled up things in the middle.",data/covers/real/g0171__src-real.png
172,COCO,000000410097,coco-000000410097,All of these sheep have coats that are ready for shearing.,data/covers/real/g0172__src-real.png
173,Flickr30k,1195966967,flickr-584,A man playing a guitar and a man dancing are entertaining a couple sitting on a ledge by the street.,data/covers/real/g0173__src-real.png
174,COCO,000000196311,coco-000000196311,Image of a living room showing couches facing each other.,data/covers/real/g0174__src-real.png
175,COCO,000000121041,coco-000000121041,A black duck floating in a wavy pond.,data/covers/real/g0175__src-real.png
176,COCO,000000157269,coco-000000157269,several men on a street corner repairing a street sign,data/covers/real/g0176__src-real.png
177,COCO,000000515289,coco-000000515289,People riding bicycles down the road approaching a bird.,data/covers/real/g0177__src-real.png
178,COCO,000000295564,coco-000000295564,A lot of colorful vases sitting on top of a white table.,data/covers/real/g0178__src-real.png
179,Flickr30k,1164765687,flickr-508,A man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals.,data/covers/real/g0179__src-real.png
180,Flickr30k,1179226886,flickr-536,Five girls and one boy are in their swimsuits all in the middle of jumping into the pool.,data/covers/real/g0180__src-real.png
181,COCO,000000173704,coco-000000173704,A person standing on a street with some food.,data/covers/real/g0181__src-real.png
182,COCO,000000262873,coco-000000262873,A snow boarder is going down an indoor slope.,data/covers/real/g0182__src-real.png
183,COCO,000000453926,coco-000000453926,A plate that has a dessert on it.,data/covers/real/g0183__src-real.png
184,Flickr30k,112604461,flickr-381,Two men work together to attach pieces of wood in a room set up for carpentry.,data/covers/real/g0184__src-real.png
185,Flickr30k,126378326,flickr-773,"Children are climbing and digging in the sand at a makeshift playground, which features a structure made from tires.",data/covers/real/g0185__src-real.png
186,COCO,000000455483,coco-000000455483,A bathroom with two sinks and a shower.,data/covers/real/g0186__src-real.png
187,COCO,000000499268,coco-000000499268,A woman on a bench reading a book,data/covers/real/g0187__src-real.png
188,Flickr30k,123889082,flickr-696,Two dogs are playing in a grassy field; one dog is biting the ear of the other dog.,data/covers/real/g0188__src-real.png
189,COCO,000000208517,coco-000000208517,A woman with a suitcase holding a phone,data/covers/real/g0189__src-real.png
190,COCO,000000413321,coco-000000413321,An explorer or adventurer hikes in a remote area in challenging weather.,data/covers/real/g0190__src-real.png
191,Flickr30k,123501647,flickr-680,There are items hanging up in the background and then there are picnic tables made of wood and two big grills where people are cooking and a man watching.,data/covers/real/g0191__src-real.png
192,COCO,000000322654,coco-000000322654,there are people sitting on the ground painting the street,data/covers/real/g0192__src-real.png
193,Flickr30k,111497985,flickr-340,The person has a striped shirt on and is holding on to a rope on a mountain.,data/covers/real/g0193__src-real.png
194,Flickr30k,118802644,flickr-562,Two men in black clothes at a meat market showing a red meat while workers in blue look on.,data/covers/real/g0194__src-real.png
195,COCO,000000487159,coco-000000487159,"This meal consists of salad, water, vegetables and dip.",data/covers/real/g0195__src-real.png
196,COCO,000000081922,coco-000000081922,A large jetliner flying over a traffic filled street.,data/covers/real/g0196__src-real.png
197,COCO,000000107244,coco-000000107244,a street sign on a road near a building,data/covers/real/g0197__src-real.png
198,COCO,000000321674,coco-000000321674,A mom and her baby are laying on the couch.,data/covers/real/g0198__src-real.png
199,COCO,000000138246,coco-000000138246,some horses grazing in front of a church,data/covers/real/g0199__src-real.png
200,Flickr30k,1144946743,flickr-437,"A little girl kneels on a ledge at the edge of a fence, with a bucket in front of her.",data/covers/real/g0200__src-real.png
201,COCO,000000511058,coco-000000511058,A giraffe with a mouth full of grass in front of a forest.,data/covers/real/g0201__src-real.png
202,COCO,000000446322,coco-000000446322,A glass display of different varieties of donuts.,data/covers/real/g0202__src-real.png
203,Flickr30k,1107246521,flickr-320,A black dog playing fetch with a ball of rope.,data/covers/real/g0203__src-real.png
204,Flickr30k,10459869,flickr-140,A group of people eating Chinese food in a restaurant.,data/covers/real/g0204__src-real.png
205,COCO,000000527248,coco-000000527248,A large crowd is attending a community fair.,data/covers/real/g0205__src-real.png
206,Flickr30k,10101477,flickr-40,A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement.,data/covers/real/g0206__src-real.png
207,COCO,000000090935,coco-000000090935,A room filled with a metal rack with white pieces of cloth resting on it.,data/covers/real/g0207__src-real.png
208,COCO,000000467522,coco-000000467522,A group of giraffes standing near each other.,data/covers/real/g0208__src-real.png
209,COCO,000000450247,coco-000000450247,A cat laying on top of a plastic container next to a bottle.,data/covers/real/g0209__src-real.png
210,COCO,000000550444,coco-000000550444,a group of men playing a game of soccer,data/covers/real/g0210__src-real.png
211,Flickr30k,1057251835,flickr-172,A white dog is running down a rocky beach.,data/covers/real/g0211__src-real.png
212,Flickr30k,121556804,flickr-629,Men in pants and coats walk up a steep and narrow road.,data/covers/real/g0212__src-real.png
213,Flickr30k,1048710776,flickr-148,A couple of several people sitting on a ledge overlooking the beach,data/covers/real/g0213__src-real.png
214,COCO,000000495612,coco-000000495612,An orange pedestrian crossing sign next to a tall building.,data/covers/real/g0214__src-real.png
215,Flickr30k,1132772170,flickr-403,A man is standing with his arms folded looking at something while the person behind him is jumping onto one of the two beds in the room.,data/covers/real/g0215__src-real.png
216,Flickr30k,1131932671,flickr-402,The boy in blue shorts is bouncing on the bed.,data/covers/real/g0216__src-real.png
217,COCO,000000074331,coco-000000074331,This is a case full of yellow bananas.,data/covers/real/g0217__src-real.png
218,Flickr30k,1044798682,flickr-137,A man wearing a hat and a white shirt is cleaning windows.,data/covers/real/g0218__src-real.png
219,Flickr30k,1248734482,flickr-727,A girl wearing a pink shirt lays on the green grass and looks up.,data/covers/real/g0219__src-real.png
220,COCO,000000399851,coco-000000399851,"A kitchen shelf holds an assortment of pots, pans, and utensils.",data/covers/real/g0220__src-real.png
221,COCO,000000475238,coco-000000475238,A train crossing a street near train crossing lights.,data/covers/real/g0221__src-real.png
222,Flickr30k,1010087623,flickr-39,A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor.,data/covers/real/g0222__src-real.png
223,COCO,000000351938,coco-000000351938,A yellow fire hydrant surrounded by many types of flowers next to an apartment.,data/covers/real/g0223__src-real.png
224,Flickr30k,101001624,flickr-36,"The ""white out"" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood.",data/covers/real/g0224__src-real.png
225,COCO,000000247984,coco-000000247984,Several pieces of luggage with extendable handles deployed.,data/covers/real/g0225__src-real.png
226,Flickr30k,1253264731,flickr-750,A girl wearing a pink shirt and overalls is smiling and there is another child that is out of focus.,data/covers/real/g0226__src-real.png
227,COCO,000000410446,coco-000000410446,A group of people on a city street.,data/covers/real/g0227__src-real.png
228,Flickr30k,122427967,flickr-650,A group of people in a coffee shop at night have coffee and juice together.,data/covers/real/g0228__src-real.png
229,COCO,000000076460,coco-000000076460,A baby and adult elephant walk around their pen.,data/covers/real/g0229__src-real.png
230,Flickr30k,114052371,flickr-417,This is a teen or young adult with braids in their hair sitting in a chair with a yellow pillow in their lap.,data/covers/real/g0230__src-real.png
231,Flickr30k,1045124251,flickr-138,A blond-haired man with glasses and a blank tank top is sitting next to another man with glasses and headphones while sitting on a train.,data/covers/real/g0231__src-real.png
232,Flickr30k,120545126,flickr-606,Several young adults performing in martial arts clothing.,data/covers/real/g0232__src-real.png
233,COCO,000000060687,coco-000000060687,A brown cow lays down in the grass,data/covers/real/g0233__src-real.png
234,Flickr30k,121551810,flickr-627,"Two men, in the woods, cook something in a can over an open fire.",data/covers/real/g0234__src-real.png
235,COCO,000000579003,coco-000000579003,A shower stall with interesting tile is the focal point.,data/covers/real/g0235__src-real.png
